"제조국","브랜드","이름","최소가격","최대가격","차종","엔진","최소연비","최대연비","최소출력","최대출력","출시년도","차량번호","내용","상세사진","색상1","색상2","색상3","색상4","색상5","색상6","색상7","색상8","색상9","색상10","색상1코드","색상2코드","색상3코드","색상4코드","색상5코드","색상6코드","색상7코드","색상8코드","색상9코드","색상10코드"
"유럽","볼보","C40 Recharge",6790,6865,"중형 SUV","전기","4.6","4.6","402","402",2024,26347,"Volvo C40 Recharge  볼보의 첫 순수 전기 크로스오버를 만나보십시오 ",26349,"Onyx Black(717) ","Vapour Grey ","Thunder Grey(728) ","Crystal White Pearl(707) ","Silver Dawn(735 ) ","Fjord Blue(734 ) ","Fusion Red(725) ",NULL,NULL,NULL,"#18171a","#9b9c9f","#91999d","#efefef","#a9a9ab","#455b6a","#862430",NULL,NULL,NULL
"한국","현대","카운티",7173,9412,"승합","디젤","7.8","7.8","170","170",2024,26375,"COUNTY New Breeze는 의전, 관광, 마을버스, 통학버스 등 어떤 목적에도 모빌리티 본연의 기능에 충실한 차량으로 만족을 드립니다  운전자와 탑승자의 편의는 물론, 다양한 니즈 충족을 위한 폭넓은 라인업까지 갖춘 COUNTY New Breeze!",26377,"에크루베이지 투톤(RAA) ","고유도색(OT) ","레몬옐로우(WEY) ","크리미 화이트(YAW) ",NULL,NULL,NULL,NULL,NULL,NULL,"#ddd9d8","#ffffff","#f4da62","#F6F5F2",NULL,NULL,NULL,NULL,NULL,NULL
"한국","제네시스","Electrified GV70",7723,7802,"중형 SUV","전기","4.3","4.6","435","435",2024,26649,"제네시스의 중형 럭셔리 전동화 SUV  최대 출력 320kW, 토크 700Nm으로 강력한 동력성능 확보  우수한 실내 정숙성과 부드러운 승차감으로 안락한 주행 감성 완성",26648,"우유니 화이트(UYH) ","세빌 실버(SSS) ","카본 메탈(N5M) ","비크 블랙(PH3) 일반","마칼루 그레이(NCM) ","로얄 블루(RY5) ","카프리 블루(NRB) ","스토르 그린(KGN) ","아타카마 코퍼(CPR) ","카디프 그린(HT7) ","#ffffff","#AFADAE","#152029","#0d151a","#232C33","#001133","#001739","#18231b","#9f825b","#2d4235"
"한국","쎄보모빌리티","CEVO-C SE",1570,1690,"경형","전기","6.3","6.3","20.2","20.2",2024,26725,"CEVO-C SE  한 단계 업그레이드 된 진화하는 드라이빙  2년 연속 초소형 전기차 판매 1위 (20,21년) + 10 16kWh 국산 배터리 적용",26727,"Passion  Red ","Aqua  Blue ","Lime  Green ","Midnight  Blue ",NULL,NULL,NULL,NULL,NULL,NULL,"#ffffff","#ffffff","#ffffff","#ffffff",NULL,NULL,NULL,NULL,NULL,NULL
"유럽","벤츠","The New C-Class",6200,7701,"중형","가솔린","11.1","11.8","204","258",2024,27105,"스포티하고 럭셔리한 디자인을 자랑합니다   다양하고 혁신적인 편의 기능으로 더욱 편안한 주행 경험을 제공하는  가장 이상적인 공간의 탄생 The new C-Class",27108,"Graphite Grey(831U) ","Selenite Grey Metallic(992U) ","Manufaktur Selenite Grey Magno(297U) ","Manufaktur Graphite Grey Magno(818U) ","High-tech Silver(922U) ","Mojave Silver(859) ","Hyacinth Red(996) ","Manufaktur Patagonia Red(993U) ","Black(040U) ","Obsidian Black(197U) ","#5b5c61","#6a6d6f","#6b6e71","#202328","#bfbfc4","#b2b1b5","#a92e30","#e41439","#0f0f0f","#424242"
"유럽","미니","The New Electric",5140,5350,"소형","전기","4.5","4.5","184","184",2022,27191,"ELECTRIC DRIVING  MINIFIED   아이코닉 디자인, 차원이 다른 고 카트 필링 드라이빙, 프리미엄 퀄리티와 친환경적 주행이 한 곳에 모여, 새로운 여정을 시작합니다 ",27190,"Nanuq White(C6A) ","Melting Silver(C6B) ","Midnight Black(C4R) ","Rooftop Grey ","Island Blue ",NULL,NULL,NULL,NULL,NULL,"#fffff","#9d9c97","#0e1110","#726967","#809fc6",NULL,NULL,NULL,NULL,NULL
"유럽","폴스타","폴스타 2",5490,5990,"중형","전기","3.8","4.8","220","310",2024,27288,"미니멀리즘 디자인과 강력한 성능   Polestar2는 전기차 시대를 선도하는 새로운 주행 경험을 제공합니다 ",27290,"Snow ","Jupiter ","Magnesium ","Thunder ","Moon ","Midnight ","Void ","Space ",NULL,NULL,"#ffffff","#d3c8c9","#bfc2c3","#606163","#928e81","#183a50","#000000","#000000",NULL,NULL
"유럽","벤츠","The New AMG GT 4door Coupe",14450,24740,"스포츠카","가솔린","6.7","8.6","367","639",2024,27457,"숨막히는 그란투리스모(Gran Turismo)의 존재감 그 이상   하이퍼포먼스의 새로운 형태   AMG의 디자인 철학이 담긴 Mercedes-AMG GT 4-Door Coup?",27459,"Manufaktur Kalahari Gold Magno(677U) ","Manufacture Classic Grey(124U) ","Manufaktur Olive Metalic(255U) ","Manufaktur YellowStone Solid(685U) ","Manufaktur  Orange Magno(658U) ","Graphite Grey(831U) ","Selenite Grey(297) ","Manufaktur Selenite Grey Magno(297U) ","Manufaktur Graphite Grey Magno(818U) ","High-tech Silver(922U) ","#b09f8f","#949398","#26231d","#f8c023","#ce5d43","#5b5c61","#6b6e71","#6b6e71","#202328","#bfbfc4"
"유럽","BMW","i4",7550,8480,"중형","전기","4.6","4.6","340","340",2024,27858,"최초의 순수전기 그란쿠페  특별한 디자인, 특별한 경험  가슴을 뛰게 만드는 첫인상  이끌릴 수 밖에 없는 매력 ",27860,"Black Blue ","Velvet Blue ","Individual Tansanit blue metallic ","Midnight Sapphire ","San Marino Blue(B51) ","Portimao Blue Metallic(C31) ","Aventurine Red(C57) ","Sepia Violet ","Black Sapphire metallic(475) ","Mint Green ","#0a121d","#2d2997","#0f223a","#1c2b42","#1b3a88","#182a56","#86100d","#43507e","#030406","#33c9be"
"유럽","맥라렌","765LT",49300,49300,"스포츠카","가솔린","6.8","6.8","755","755",2021,28313,"놀라운 720S를 기반으로 하는 최신 McLaren 765 Long Tail   타협하지 않는 비전  여과되지 않은 스릴   두려움 없이 설계되고 두려움 없는 사람들이 주도하며 Longtail 모델은 이러한 정신을 구체화합니다 ",24264,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"유럽","볼보","XC60 Recharge",8590,8640,"중형 SUV","가솔린, 전기, 하이브리드","16.8","16.8","317","317",2024,28567,"The smart XC60   인텔리전트한 디자인, TMAP 인포테인먼트 서비스로 그 어느 때보다 스마트해진 중형 플러그인 하이브리드 SUV를 만나보세요 ",28569,"Onyx Black(717) ","Vapour Grey ","Platinum Grey(731) ","Crystal White(707) ","Silver Dawn(735) ","Denim Blue(723) ","Fusion Red(725) ",NULL,NULL,NULL,"#18171a","#9b9c9f","#4c4743","#ebebeb","#a9a9ab","#5d6673","#862430",NULL,NULL,NULL
"유럽","볼보","XC90 Recharge",11470,11520,"대형 SUV","가솔린, 전기, 하이브리드","15.5","15.5","317","317",2024,28571,"역동적인 느낌의 중형 SUV XC90 Recharge   특별한 디자인 디테일에 대한 배려와 편안함에 대한 약속은 모든 여정을 즐겁게 만들어 줍니다 ",28573,"Onyx Black(717) ","Vapour Grey ","Platinum Grey(731) ","Crystal White(707) ","Silver Dawn(735) ","Denim Blue(723) ",NULL,NULL,NULL,NULL,"#18171a","#9b9c9f","#4c4743","#ebebeb","#a9a9ab","#5d6673",NULL,NULL,NULL,NULL
"유럽","볼보","S90 Recharge",8647,8790,"중형","가솔린, 전기, 하이브리드","18.2","18.2","317","317",2023,28580,"S90 Recharge   더 많은 것을 기대하세요   TMAP 인포테인먼트 서비스가 내장된 럭셔리 플러그인 하이브리드 세단입니다 ",28582,"Onyx Black(717) ","Vapour Grey ","Platinum Grey(731) ","Crystal White(707) ","Brigth Dusk ","Silver Dawn(735) ","Denim Blue(723) ",NULL,NULL,NULL,"#18171a","#9b9c9f","#4c4743","#ebebeb","#d8d1cf","#a9a9ab","#5d6673",NULL,NULL,NULL
"일본","토요타","New Generation RAV4",4430,5700,"중형 SUV","가솔린, 하이브리드, 전기","15.1","16.1","218","222",2024,28590,"도심과 오프로드 모두 적합해 운전의 즐거움을 겸비한 SUV   멀티플한 당신의 삶에 더 새롭고, 더 다양한 능력을 RAV4 Hybrid와 함께 다채로운 드라이빙을 즐겨보세요 ",28589,"Red Mica ","Emotional Red 2 ","Gray Metallic ","Grayish Blue ","Silver Me ","Dark Blue Mica ","Attitude Black Mica ","White Pearl Crystal Shine ","Platinum White Pearl Mica ","Urban Khaki ","#a02d39","#ca0003","#686868","#48596a","#dcdce6","#232c52","#0c0c0c","#f0f0eb","#ffffff","#89978e"
"한국","기아","디 올 뉴 니로 EV",5114,5393,"준중형 SUV","전기","5.3","5.3","204","204",2024,29179,"The all-new Kia Niro EV  입체적인 패턴과 서로 다른 색상 및 재질로 구성된 투톤 라디에이터 그릴,  클린하고 심플한 디자인을 통해 Niro EV만의 미래지향적 이미지를 전달합니다 ",29172,"스노우 화이트 펄(SWP) ","스틸 그레이(KLG) ","인터스텔라 그레이(AGT) ","오로라 블랙펄(ABP) ","런웨이 레드(CR5) ","미네랄 블루(M4B) ","시티스케이프 그린(CGE) ",NULL,NULL,NULL,"#e6e7e6","#5f6167","#575859","#0E0E10","#852b33","#22456d","#41504c",NULL,NULL,NULL
"일본","토요타","GR 86",4090,4770,"스포츠카","가솔린","9.5","9.5","231","231",2024,29652,"TOYOTA86은 GAZOO Racing이 갖고 있는 모터스포츠의 DNA를 계승하여  운전의 즐거움을 실현하는 순수한 스포츠카인 GR86으로 재탄생 하였습니다 ",29654,"Ignition Red ","Magnetite Gray Metallic ","Ice Silver Metallic ","Bright Blue ","Sapphire Blue Pearl ","Crystal Black Silica ","Crystal White Pearl ",NULL,NULL,NULL,"#ed0019","#444444","#dedede","#268fe6","#2a2e7c","#0f0f0f","#d4d4d4",NULL,NULL,NULL
"한국","현대","더 뉴 팰리세이드",3896,5491,"대형 SUV","가솔린, 디젤","8.5","12.4","202","295",2024,29760,"PALISADE 당신의 모든 세상  현대자동차의 플래그십 SUV 팰리세이드와 함께 당신만의 세상을 향한 멋진 여정을 준비하십시오   팰리세이드만의 세련된 감성은 대형 SUV의 새로운 기준을 제시합니다   플래그십 SUV답게 압도적인 존재감을 드러냅니다 ",29759,"쉬머링 실버 메탈릭(R2T) ","어비스 블랙 펄(A2B) ","가이아 브라운(D2S) ","문라이트 블루 펄(UB7) ","그라파이트 그레이 메탈릭(P7V) ","크리미 화이트 펄(WC9) ","로버스트  에메랄드 펄(R8N) ",NULL,NULL,NULL,"#a8abae","#000000","#28201d","#232b3e","#3e4241","#dddddd","#0d251b",NULL,NULL,NULL
"한국","기아","니로 플러스",4600,5108,"준중형 SUV","전기","5.3","5.3","204","204",2024,30176,"목적 기반 모빌리티, PBV의 시작  자동차를 사용자의 목적과 비즈니스에 맞춤하는 세상  원하는 공간에 꼭 필요한 기능과 서비스를 더해 당신의 삶에 플러스가 되는 기술  목적 기반 모빌리티 솔루션 Niro Plus가 시작합니다 ",30178,"스노우 화이트 펄(SWP) ","아스트로 그레이(M7G) ","오로라 블랙 펄(ABP) ","클리어 화이트(UD) ","스파클링 실버(KCS) ",NULL,NULL,NULL,NULL,NULL,"#e6e7e6","#51524d","#0f0f0f","#F8FAF9","#E7E8E9",NULL,NULL,NULL,NULL,NULL
"한국","쉐보레","더 넥스트 이쿼녹스",3145,4145,"중형 SUV","가솔린","10.6","11.5","172","172",2022,30292,"LIFT YOUR LIFE, THE NEXT EQUINOX   당신의 모든 순간이 돋보일 수 있도록  이쿼녹스는 당신의 일상에 특별함과 즐거움을 더해줄 것입니다 ",30294,"아이언 그레이(GIV) ","턱시도 블랙(GBA) ","체리팝 레드(GSK) ","스위치블레이드 실버(GAN) ","퓨어 화이트(GAZ) ",NULL,NULL,NULL,NULL,NULL,"#4b5059","#0D0D0E","#9b2830","#E2E2E1","#EDEDF3",NULL,NULL,NULL,NULL,NULL
"일본","렉서스","UX 300e",5490,5490,"소형 SUV","전기","4.7","4.7","204","204",2022,30433,"렉서스의 첫 번째 순수 전기 자동차 UX 300e는 Lexus Electrified 비전을 반영하고 있습니다   순수 전기 파워트레인으로 가속부터 감속까지 부드럽게 연결되어 우수한 주행 경험을 제공합니다 ",30435,"Sonic Quartz ","Sonic Chrome ","Sonic Titanium ","Celestial Blue Glass Flake ","Mercury Gray Mica ","Graphite Black Glass Flake ","Madder Red ","Blazing Carnelian Contrast Layering ","Terrane Khaki Mica Metallic ",NULL,"#eeeeee","#4f5055","#c4c1bc","#133572","#696a6c","#252525","#9f0005","#b14226","#2f341e",NULL
"한국","KG모빌리티","토레스",2627,3753,"중형 SUV","가솔린, LPG","10.2","11.2","165","170",2024,30571,"광활한 대자연의 경이로움을 간직한 파타고니아의 토레스 델 파이네 국립공원   SUV가 추구하는 도전과 모험정신을 담아, 새롭게 태어나다  TORRES(J100)",30567,"그랜드 화이트(WAA) ","아이언 메탈(ADE) ","플래티넘 그레이(ADA) ","체리 레드(RAV) ","포레스트 그린(GAO) ","댄디 블루(BAS) ","스페이스 블랙(LAK) ","그랜드 화이트 (블랙 투톤 루프)(2WA) ","아이언 메탈 (블랙 투톤 루프)(2DE) ","플래티넘 그레이 (블랙 투톤 루프)(2AD) ","#F2EFE8","#727685","#565656","#4d1f21","#313B38","#0D2243","#24201F","#111111","#000000","#111111"
"일본","렉서스","New Generation NX",6670,8300,"소형 SUV","가솔린, 하이브리드, 전기","14","14.4","182","189",2022,30688,"전동화의 시작, 새롭게 진화한 New Generation NX   운전자의 상황에 따라 EV와 HEV 모드를 선택해 즐기는 플러그인 하이브리드 드라이빙의 즐거움 ",30690,"Graphite Black ","Sonic Quartz ","Sonic Chrome ","Sonic Titanium ","White Nova Glass Flake ","Terrance Khaki Mica Metallic ","Celestial Blue Glass Flake ","Heat Blue Contrast Layering ","Graphite Black Glass Flake ","Black ","#252525","#eeeeee","#4f5055","#c4c1bc","#ededed","#585743","#133572","#003aa8","#252525","#171717"
"유럽","푸조","New 308",3650,4350,"준중형","디젤","17.2","17.2","131","131",2023,30873,"역동성과 강력함을 보여주는 NEW PEUGEOT 308   i-Cockpit의 실용적인 기술과 혁신으로 향상된 승차감을 경험하실 수 있습니다   효율성과 고성능의 조화에서 나오는 편안함을 주는 NEW PEUGEOT 308을 지금 바로 만나보세요 ",30875,"Olivine Green ","Vertigo Blue ","Cumulus Grey ","Perla Nera Black ","Nera Black ","Pearlescent White ","Pearly white ","Elixir Red ",NULL,NULL,"#327f36","#1579df","#939496","#000000","#120e13","#e0dfdd","#fefefe","#b0061f",NULL,NULL
"한국","제네시스","G70 슈팅 브레이크",4545,5128,"준대형","가솔린","10.1","10.9","304","304",2023,31048,"스타일리쉬한 측면부와 날렵한 후면부 디자인,  다재다능한 공간과 스포티한 성능을 갖춘 G70 슈팅 브레이크는  자신의 취향을 큐레이션할 줄 아는 이들을 위한 새로운 모델입니다 ",31062,"우유니 화이트(UYH) ","세빌 실버(SSS) ","비크 블랙(PH3) 일반","바트나 그레이(GRY) ","마칼루 그레이(NCM) ","카와 블루(BLE) ","태즈먼 블루(URA) ","카프리 블루(NRB) ","한라산 그린(MDY) ","블레이징 레드(Z5E) ","#ffffff","#AFADAE","#0d151a","#a2a09d","#232C33","#102461","#00243a","#001739","#1c3134","#821114"
"유럽","벤츠","EQB",6900,8200,"중형 SUV","전기","4.1","4.1","228.4","228.4",2024,31076,"압도적인 아름다움? 차별화된 선명함과 절제된 우아함까지  새로운 차원의 패밀리 전기 SUV, The new EQB?",31079,"Mountain Grey(787) ","Mountain Grey Magno(662U) ","Iridium Silver(775) ","Manufaktur Patagonia Red(993U) ","Rose Gold Metallic(817) ","Cosmos Black(191) ","Night Black(696) ","Denim Blue(667) ","Digital white(144U) ","Polar White(149U) ","#6c696a","#424242","#b2b1b5","#e41439","#b29995","#464744","#151515","#2c2e42","#fafafa","#fafafa"
"유럽","DS","DS4",4460,5160,"중형 SUV","디젤","16.2","16.5","130","130",2022,31109,"쿠페형 SUV와 전통적인 소형 해치백이 융합되어 새로운 세그먼트로 정의된 차세대 해치백   DS AERO SPORT LOUNGE 컨셉에서 영감을 받은 강렬한 외부 디자인과  혁신적인 인터페이스와 우아한 디자인이 결합된 인테리어를 통해  파리의 감성을 고스란히 담아냈습니다 ",31111,"Perla Nera Black ","Platinum Grey ","Lacquered Grey ","Pearl White ","Pearl Crystal ","Velvet Red ","Copper Gold ",NULL,NULL,NULL,"#050505","#d7d7d7","#848484","#ececea","#b9b7b6","#4f0e18","#ae8460",NULL,NULL,NULL
"유럽","아우디","New A3",4233,6137,"준중형","가솔린","13","13","150","150",2024,31759,"새롭게 선보인 2세대 뉴 A3   탁월한 승차감, 민첩하고 안정적인 드라이빙 성능, 여유로운 실내 공간으로 4도어 컴팩트 세단의 가치를 혁신적으로 끌어올렸다 ",31761,"Myth Black Metallic(LY9T) ","Daytona Gray Pearl ","Manhattan Gray Metallic ","Python Yellow Metallic ","Atoll Blue Metallic ","Turbo Blue ","Navarra Blue Metallic(LX5H) ","Floret Silver Metallic ","Glacier White Metallic ","Tango Red Metallic(LY3U) ","#090909","#494a4c","#303636","#dbc22f","#294661","#145aa9","#061567","#9a999e","#c0c4c3","#95060c"
"유럽","애스턴마틴","DBX707",31700,31700,"대형 SUV","가솔린","7","7","707","707",2024,31938,"새로운 애스턴마틴의 DBX707, 가장 파워풀하고 럭셔리한 SUV   707PS로 엄청난 파워와 비교 불가능한 핸들링은 모든 드라이브를 강렬한 기억으로 만듭니다   애스턴마틴의 스포츠 드라이빙 캐릭터의 최상급 마스터피스 DBX707을 경험해보세요 ",31940,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"한국","기아","더 뉴 셀토스",2087,2903,"소형 SUV","가솔린","10.8","12.9","149","198",2024,32119,"하이엔드 감성과 도시적 세련미를 강화한 도심형 SUV, 더 뉴 셀토스  더 뉴 셀토스는 2019년 출시된 셀토스의 첫 상품성 개선 모델로, 안전과 편의사양이 대거 탑재됐다 ",32111,"스노우 화이트 펄(SWP) ","그래비티 그레이(KDG) ","퓨전 블랙(FSB) ","다크 오션블루(BU3) ","플루톤 블루(PLU) ","발레 그린(B4E) ","클리어 화이트(UD) ","퓨전 블랙 + 클리어 화이트(F1D) ","퓨전 블랙 + 플루톤 블루(F1A) ","퓨전 블랙 + 다크 오션블루(F1E) ","#e6e7e6","#606a6f","#1a1916","#153450","#3d606c","#75703b","#F8FAF9","#000000","#000000","#000000"
"유럽","BMW","New 2 Series 액티브 투어러",4400,5270,"준중형","가솔린, 디젤","12.2","15.8","150","204",2024,32708,"국내 유일의 프리미엄 스포츠 액티비티 투어러  스포티하면서도 우아한 디자인과 차세대 기술, 특유의 드라이빙 다이내믹스로  BMW에서만 느낄 수 있는 최상의 주행 경험을 제공합니다 ",32711,"Phytonic Blue(C1M) ","Black Sapphire metallic(475) ","Alpine White(300) ","Sparkling Copper Grey(C55) ",NULL,NULL,NULL,NULL,NULL,NULL,"#235780","#030406","#d7d8d2","#848078",NULL,NULL,NULL,NULL,NULL,NULL
"유럽","폭스바겐","The new Tiguan Allspace",4890,5480,"중형 SUV","가솔린, 디젤","10.1","10.1","186","186",2024,32734,"신형 티구안 올스페이스는 2세대 티구안 부분변경 모델의 롱 휠베이스 버전으로,  일상생활 뿐만 아니라 아웃도어 액티비티 등 고객의 다양한 라이프 스타일에 최적화된 패밀리 SUV입니다 ",32736,"Platinum Gray Metallic ","Pure White ","Pyrite Silver Metallic ","Deep Black Pearl Effect ","Atlantic Blue Metallic ",NULL,NULL,NULL,NULL,NULL,"#454f59","#e5e9e8","#c4c8c8","#0a0d16","#033770",NULL,NULL,NULL,NULL,NULL
"유럽","페라리","SF90 Spider",69357,69357,"스포츠카","가솔린, 전기, 하이브리드","2.6","7.2","1016","1016",2024,33025,"SF90 스트라달레와 동일한 극한의 슈퍼카 사양과 기록적인 성능을 제공하면서도,  최신 모델의 상징인 RHT(접이식하드톱) 아키텍처를 구현한 덕분에 드라이빙의 즐거움과 다양성이 향상되었습니다 ",33027,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"유럽","볼보","XC40 Recharge",6690,6769,"소형 SUV","전기","4.4","4.4","402","402",2024,33041,"새로운 나만의 공간 XC40 Recharge   순수 전기 소형 SUV는 현대적인 도시 생활 및 그 이상을 위해 디자인 되었습니다 ",33043,"Onyx Black(717) ","Vapour Grey ","Thunder Grey(728) ","Crystal White Pearl(707) ","Glacier Silver(729) ","Silver Dawn(735 ) ","Denim Blue(723) ","Fjord Blue(734 ) ",NULL,NULL,"#18171a","#9b9c9f","#91999d","#efefef","#c7d1db","#a9a9ab","#5d6673","#455b6a",NULL,NULL
"유럽","볼보","The New XC40",4840,5430,"소형 SUV","가솔린, 하이브리드","10.1","10.1","197","197",2022,33046,"세상 어떤 곳에서도 함께할 수 있도록 디자인된 컴팩트한 스칸디나비안 SUV   '인간 중심(Human-centric)' 브랜드 철학이 반영된 신형 XC40은 보다 나은 삶으로의 새로운 여정을 선사합니다 ",33048,"Onyx Black(717) ","Vapour Grey ","Crystal White(707) ","Silver Dawn(735) ","Fjord Blue(734 ) ","Fusion Red(725) ",NULL,NULL,NULL,NULL,"#18171a","#9b9c9f","#ebebeb","#a9a9ab","#455b6a","#862430",NULL,NULL,NULL,NULL
"한국","현대","아이오닉 6",5267,6768,"준대형","전기","4.8","6.2","111","239",2023,33159,"내가 만드는 세상 아이오닉 6   매끈한 유선형 외장 디자인과 사용자 중심으로 최적화된 안락한 실내 공간,  역동적 주행 성능과 최첨단 안전·편의 사양 등을 기반으로 새로운 전동화 경험을 선사합니다 ",33162,"트랜스미션 블루 펄(NY9) ","바이오 필릭 블루 펄(XB9) ","얼티메이트 레드 메탈릭(R2P) ","디지털 그린 펄(RG9) ","어비스 블랙 펄(A2B) ","녹턴 그레이 메탈릭(T2G) ","세레니티 화이트 펄(W6H) ","그래비티 골드 매트(W3T) ","녹턴 그레이 매트(T9M) ","디지털 그린 매트(R5M) ","#535763","#090f1b","#7e1516","#151a1d","#000000","#33363b","#ffffff","#93948a","#394044","#151d1c"
"미국","포드","New Expedition",11270,11270,"대형 SUV","가솔린","7.4","7.4","405","405",2022,33270,"2022 Ford Expedition은 대형 SUV 중에서 확실한 존재감을 보여주고 있습니다   사람들의 시선을 압도하는 큰 차체와 차량 내에 설치된 각종 편의 사양들은 다른 SUV와는 확실한 차별점을 느끼실 수 있게 해드립니다 ",33272,"Agate Black ","Stone Blue ","Dark Matter ","Infinite Blue Metallic Tinted ","Iconic Silver ","Forged Green ","Rapid Red Metallic Tinted ","Oxford White ","Star White Metallic ",NULL,"#060606","#152933","#222526","#263e50","#747474","#111f15","#891416","#cacaca","#e0e0dc",NULL
"유럽","BMW","New X7",14720,15820,"대형 SUV","가솔린, 하이브리드, 디젤","7.8","10","340","381",2024,33317,"최상의 파워, 럭셔리함과 쾌적함, 그리고 독창적인 디자인 컨셉의 조화  고급스러움과 최상의 동력 성능, 드넓은 공간감과 다재다능함이 조화를 이룬 X7",33319,"Blue Ridge Mountain(C35) ","Black Sapphire metallic(475) ","Manhattan Green(C3D) ","Mineral White metallic(A96) ","Skyscraper Grey metallic(C4W) ","Brooklyn Grey(C4P) ",NULL,NULL,NULL,NULL,"#4c5f64","#030406","#403e30","#d5d6d0","#646a6a","#9da3a3",NULL,NULL,NULL,NULL
"한국","기아","더 뉴 레이 PE",1330,1865,"경형","가솔린","12.7","13","76","76",2024,33452,"레이의 상품성 개선 모델, 더 뉴 레이  차로 유지 보조(LFA)·운전석 통풍시트 등 고객 선호도가 높은 첨단 운전자 보조 시스템과 편의 사양이 확대됐으며, 운전석을 포함한 전 좌석 풀 폴딩 기능이 가능해 공간 활용을 높였다 ",33454,"아스트로 그레이(M7G) ","오로라 블랙펄(ABP) ","스모크 블루(EU3) ","클리어 화이트(UD) ","밀키 베이지(M9Y) ","아쿠아 민트(AEQ) ",NULL,NULL,NULL,NULL,"#51524d","#0E0E10","#143349","#F8FAF9","#E9E8DF","#A4C6C1",NULL,NULL,NULL,NULL
"유럽","아우디","Q4 e-tron",5970,7289,"중형 SUV","전기","4.7","4.7","201","201",2023,33765,"최초의 컴팩트 세그먼트의 순수 전기 SUV   당신의 편의와 안전과 함께 감성적 만족까지 고려한 기술   e-Mobility가 지향하는 강력한 성능과 철학을 담아낸 디자인 ",33767,"Myth Black Metallic(LY9T) ","Pebblestone Gray ","Navarra Blue Metallic(LX5H) ","Glacier White Metallic ",NULL,NULL,NULL,NULL,NULL,NULL,"#090909","#8e929e","#061567","#c0c4c3",NULL,NULL,NULL,NULL,NULL,NULL
"유럽","폭스바겐","ID.4",5490,5990,"중형 SUV","전기","4.9","4.9","201","201",2023,33941,"폭스바겐의 첫 번째 순수 전기 SUV ID 4  폭스바겐의 앞선 기술력으로 탄생한 ID 4는 안정감과 더불어 완성도를 갖추었습니다   폭스바겐의 첫 번째 순수 전기 SUV ID 4로 시작되는 새로운 라이프를 경험해보세요 ",33943,"Manganese Gray Metallic ","Moonstone Gray ","Kings Red Metallic ","Glacier White Metallic ","Scale Silver Metallic ","Myth Black Metallic ","Grenadilla Black Metallic ","Blue Dusk Metallic ","Stonewashed Blue Metallic ",NULL,"#424650","#5e5e66","#8f1214","#d0d6d2","#a1a5a4","#14121b","#000005","#233462","#727f86",NULL
"유럽","BMW","The New 7 Series",14730,22600,"대형","가솔린, 디젤, 전기, 하이브리드","10.4","15","299","489",2024,34088,"우아함과 멀티센서 엔터테인먼트를 결합하여 완전히 새로운 경험을 선사합니다   승차하는 순간부터 경험하는 웰컴 시나리오  “Great Entrance Moments”",34090,"Individual Tansanit blue metallic ","Black Sapphire metallic(475) ","Mineral White metallic(A96) ","Oxcide Grey(C4A) ","Brooklyn Grey(C4P) ","Sparkling Copper Grey(C55) ","Sophisto Grey(A90) ","Space Silver(C67) ",NULL,NULL,"#0f223a","#030406","#d5d6d0","#8a8984","#9da3a3","#848078","#32312f","#888b84",NULL,NULL
"유럽","BMW","The New i7",16690,24050,"대형","전기","3.7","3.8","455","544",2024,34092,"럭셔리 순수전기 드라이빙의 새로운 기준을 제시하는 미래 플래그십 모델   약 600km* 이상 주행 가능 거리의 전기 배터리와 멀티센서 엔터테인먼트의 결합은 최상의 주행 경험을 제공합니다 ",34094,"Black Sapphire metallic(475) ","Mineral White metallic(A96) ","Oxcide Grey(C4A) ","Brooklyn Grey(C4P) ","Sparkling Copper Grey(C55) ","Sophisto Grey Brilliant Effect(A90) ","Space Silver(C67) ",NULL,NULL,NULL,"#030406","#d5d6d0","#8a8984","#9da3a3","#848078","#202123","#888b84",NULL,NULL,NULL
"유럽","벤츠","EQE",9210,10990,"준대형","전기","4","4.3","245","292",2024,34220,"EQE는 전기차 전용 플랫폼을 기반으로 제작됐다  EQE 350+ 국내 사양은 일렉트릭 아트 라인으로 증강현실 내비게이션, 1열 통풍 시트, 최신 ADAS가 적용되었다 ",34222,"Graphite Grey Metalic(831U) ","Selenite Grey Metallic(992U) ","Manufaktur Graphite Grey Magno(818U) ","Manufaktur Alpine Grey Solid(956U) ","High-tech Silver Metallic(922U) ","Manufaktur Patagonia Red Metallic(993U) ","Black(040U) ","Obsidian Black(197U) ","Sodalite Blue Metalic(842U) ","Manufaktur Opalite White Bright(885U) ","#5b5c61","#6a6d6f","#202328","#8f8e94","#bfbfc4","#e41439","#0f0f0f","#424242","#465c8b","#f4f4f2"
